ts,Temperature,Flow,Pressure,AccumulateFlow
2023-08-04 13:23:46+00:00,27.9,78,1.8,191
2023-08-04 12:53:46+00:00,26.1,29,2.1,424
2023-08-07 09:00:38+00:00,26.1,39,5.0,764
2023-06-14 13:53:43+00:00,27.1,48,3.42,370
2023-06-14 14:15:20+00:00,27.1,37,4.96,890
2023-06-14 14:15:29+00:00,27.1,38,4.83,900
2023-06-14 14:15:40+00:00,27.1,21,4.63,900
2023-06-14 13:53:01+00:00,27.1,22,3.5,350
2023-06-14 13:53:18+00:00,27.1,26,3.5,360
2023-06-14 13:53:46+00:00,27.1,47,3.5,370
2023-06-14 13:54:00+00:00,27.1,54,3.5,380
2023-06-14 13:54:04+00:00,27.1,28,3.5,380
2023-06-14 13:54:14+00:00,27.1,0,3.5,380
2023-06-14 13:54:25+00:00,27.1,0,3.5,390
2023-06-14 13:55:04+00:00,27.1,0,3.5,410
2023-06-14 13:52:40+00:00,27.1,55,3.51,340
2023-06-14 13:52:54+00:00,27.1,51,3.51,340
2023-06-14 13:52:57+00:00,27.1,50,3.51,350
2023-06-14 13:53:04+00:00,27.1,25,3.51,350
2023-06-14 13:53:08+00:00,27.1,37,3.51,350
2023-06-14 13:53:11+00:00,27.1,51,3.51,350
2023-06-14 13:53:15+00:00,27.1,37,3.51,350
2023-06-14 13:53:32+00:00,27.1,51,3.51,360
2023-06-14 13:53:36+00:00,27.1,21,3.51,360
2023-06-14 13:53:39+00:00,27.1,0,3.51,370
2023-06-14 13:53:50+00:00,27.1,26,3.51,370
2023-06-14 13:53:53+00:00,27.1,27,3.51,370
2023-06-14 13:54:07+00:00,27.1,22,3.51,380
2023-06-14 13:54:11+00:00,27.1,0,3.51,380
2023-06-14 13:54:21+00:00,27.1,50,3.51,390
2023-06-14 13:54:28+00:00,27.1,0,3.51,390
2023-06-14 13:55:01+00:00,27.1,0,3.51,410
2023-06-14 13:56:04+00:00,27.1,0,3.51,440
2023-06-14 13:56:07+00:00,27.1,0,3.51,440
2023-06-14 13:56:32+00:00,27.1,0,3.51,450
2023-06-14 13:56:35+00:00,27.1,0,3.51,450
2023-06-14 13:56:46+00:00,27.1,0,3.52,450
2023-06-14 13:52:43+00:00,27.1,56,3.53,340
2023-06-14 14:13:06+00:00,27.1,0,1.6,840
2023-06-14 14:13:15+00:00,27.1,0,1.6,850
2023-06-14 14:13:25+00:00,27.1,32,1.6,850
2023-06-14 14:13:28+00:00,27.1,0,1.6,850
2023-06-14 14:13:34+00:00,27.1,35,1.6,850
2023-06-14 14:13:41+00:00,27.1,0,1.6,850
2023-06-14 14:13:45+00:00,27.1,0,1.6,860
2023-06-14 14:13:46+00:00,27.1,32,1.6,860
2023-06-14 14:13:51+00:00,27.1,31,1.6,860
2023-06-14 14:13:58+00:00,27.1,0,1.6,860
2023-06-14 14:14:08+00:00,27.1,31,1.6,860
2023-06-14 14:14:12+00:00,27.1,30,1.6,860
2023-06-14 14:14:29+00:00,27.1,31,1.6,870
2023-06-14 14:14:37+00:00,27.1,0,1.6,870
2023-06-14 14:15:35+00:00,27.1,0,4.91,900
2023-06-14 14:16:04+00:00,27.1,0,1.79,910
2023-06-14 14:15:06+00:00,27.1,0,3.34,880
2023-06-14 14:13:39+00:00,27.1,36,1.61,850
